"loudness","tempo","energy","duration_ms","track_popularity","norm.loudness","norm.tempo","intensity","minutes","popularity"
-2.634,122.036,0.916,194754,66,0.91808980994489,0.509672569328433,0.502527586461181,3.2459,3
-4.969,99.972,0.815,162600,67,0.86916162018314,0.417524223187437,0.454454201001432,2.71,3
-3.432,124.008,0.931,176616,70,0.90136831297278,0.517908453057133,0.515846713361451,2.9436,3
-3.778,121.956,0.93,169093,60,0.894118140100161,0.509338456398263,0.515073438766034,2.81821666666667,2
-4.672,123.976,0.833,189052,69,0.875385034469753,0.517774807885065,0.491796591138437,3.15086666666667,3
-5.385,124.982,0.919,163049,67,0.860444649330512,0.521976277981958,0.526843876217149,2.71748333333333,3
-4.788,112.648,0.856,187675,62,0.872954340674308,0.470464416972937,0.48450335876621,3.12791666666667,2
-2.419,127.936,0.903,207619,69,0.922594975169206,0.5343133979285,0.504906140919765,3.46031666666667,3
-3.562,127.015,0.935,193187,68,0.898644259581334,0.530466922819913,0.522274221079526,3.21978333333333,3
-4.552,124.957,0.818,253040,67,0.877899545292626,0.52187186769128,0.487324107466218,4.21733333333333,3
-6.5,121.984,0.923,207894,58,0.837080652934644,0.509455395923822,0.531791580996393,3.4649,2
-4.918,123.125,0.774,203733,67,0.870230287282862,0.514220681590378,0.472663464769172,3.39555,3
-4.675,121.985,0.726,192507,67,0.875322171699181,0.509459572335449,0.453379133545423,3.20845,3
-4.451,123.919,0.915,164516,68,0.880015925235212,0.517536752422319,0.517506942395702,2.74193333333333,3
-4.446,126.07,0.78,255238,63,0.880120696519498,0.526520213832275,0.475466505770926,4.25396666666667,2
-4.603,125.028,0.835,188230,66,0.876830878192905,0.522168392916806,0.4934458382413,3.13716666666667,3
-4.322,118.051,0.901,173548,60,0.882719024369801,0.49302956899432,0.503770181541506,2.89246666666667,2
-5.289,120.002,0.747,189375,65,0.86245625798881,0.501177748078851,0.461907163363347,3.15625,2
-6.722,111.961,0.557,159404,69,0.832428807912327,0.467595222185099,0.39738880475759,2.65673333333333,3
-5.466,122.676,0.821,185366,35,0.858747354525072,0.512345472769796,0.491532706081575,3.08943333333333,2
-5.053,125.948,0.934,215238,70,0.867401462607129,0.526010691613765,0.530869743002212,3.5873,3
-4.329,135.016,0.913,170667,64,0.8825723445718,0.56388239224858,0.531436682558927,2.84445,2
-4.477,123.938,0.818,210968,62,0.879471114556922,0.517616104243234,0.485381663228771,3.51613333333333,2
-5.999,124.024,0.85,193548,70,0.847578735620141,0.517975275643167,0.506798846674342,3.2258,3
-3.785,110.018,0.889,205093,58,0.89397146030216,0.459480454393585,0.484836331363808,3.41821666666667,2
-7.037,124.933,0.76,172800,63,0.825828217002284,0.521771633812229,0.485314472269982,2.88,2
-7.117,126,0.851,192381,66,0.824151876453702,0.526227865018376,0.517691996188225,3.20635,3
-3.781,125.996,0.905,175000,8,0.89405527732959,0.526211159371868,0.512385294014093,2.91666666666667,1
-3.983,127.997,0.938,166875,62,0.889822517444419,0.534568159037755,0.527581880531112,2.78125,2
-2.929,119.885,0.909,155080,30,0.911908304171993,0.500689107918476,0.499260267915495,2.58466666666667,1
-4.754,128.091,0.869,178125,56,0.873666785407456,0.534960741730705,0.510097985441083,2.96875,2
-7.51,121.993,0.814,172000,56,0.81591685350879,0.509492983628466,0.502525376706559,2.86666666666667,2
-6.487,123.952,0.837,177097,58,0.837353058273788,0.517674574006014,0.505773838577409,2.95161666666667,2
-5.06,125.032,0.864,169935,60,0.867254782809128,0.522185098563314,0.506310105251396,2.83225,2
-4.121,124.975,0.815,220413,60,0.886930829998114,0.521947043100568,0.483338737700818,3.67355,2
-5.029,128.024,0.831,185273,55,0.867904364771703,0.534680922151687,0.499258852459995,3.08788333333333,2
-5.972,122.032,0.833,170164,59,0.848144500555288,0.509655863681925,0.498170454375546,2.83606666666667,2
-4.046,126.026,0.854,172360,63,0.88850239926241,0.526336451720682,0.49727801748609,2.87266666666667,2
-2.921,129.975,0.81,247385,67,0.912075938226851,0.542829101236218,0.480251054336456,4.12308333333333,3
-2.878,124.019,0.815,218015,55,0.912976971271714,0.517954393585032,0.473325807437773,3.63358333333333,2
-3.503,124.008,0.773,200444,56,0.899880560735913,0.517908453057133,0.463675964107073,3.34073333333333,2
-7.159,103.952,0.678,228267,87,0.823271797665696,0.434146341463415,0.429624847932573,3.80445,3
